match_id,index,under_pressure,location,player,timestamp,possession,period,team_id,player_id,play_pattern,related_events,minute,second,possession_team,possession_team_id,team,id,duration,dribble,position,type,out,off_camera
19797,144,True,"[Decimal('53'), Decimal('35')]",Ellie Mason,00:02:16.219,5,1,970,15715,Regular Play,['99a08cca-b7a7-4ebb-bbf9-715d184fc9f6'],2,16,Arsenal WFC,968,Yeovil Town LFC,342dc5b3-d9c6-4554-a363-afd0579cf542,0,"{'nutmeg': True, 'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Center Back,Dribble,No existe,0.0
3754166,33,True,"[Decimal('74.9'), Decimal('76.1')]",Riyad Mahrez,00:00:20.173,4,1,22,3814,Regular Play,['85a2aa81-49aa-4d5e-a659-bc2064204ef7'],0,20,Leicester City,22,Leicester City,57abe05b-159d-4a57-a371-c01433eff828,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Right Midfield,Dribble,No existe,0.0
3879629,117,True,"[Decimal('46'), Decimal('4.7')]",Juan Ignacio Gómez Taleb,00:03:28.002,9,1,226,386651,Regular Play,"['a10ea7dd-f89d-4985-9ba8-618dca7d3822', 'c783a932-6600-4322-a5f1-bcc0695789f6']",3,28,Hellas Verona,226,Hellas Verona,e3edbffd-23e4-4c6c-b4c6-880b170e14c3,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Left Wing,Dribble,No existe,0.0
3890312,138,True,"[Decimal('111.3'), Decimal('73.3')]",Lars Bender,00:02:42.055,5,1,904,8969,From Goal Kick,['c6f2df73-b2ef-48db-8954-a8466cacfc21'],2,42,Bayer Leverkusen,904,Bayer Leverkusen,d2bf2cd2-d50c-4bff-9e4c-883197e32979,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}, 'nutmeg': True}",Right Defensive Midfield,Dribble,No existe,0.0
3879621,22,True,"[Decimal('34.4'), Decimal('11.7')]",Emiliano Moretti,00:00:12.587,2,1,241,7476,From Kick Off,"['4f59da32-9a9d-4f55-9031-447c6b1e2b0d', 'cd1adcf5-51d4-46fe-8d34-3b4dd56e273b']",0,12,Torino,241,Torino,5268e504-60f8-48fa-89db-1a6c265eee06,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Left Center Back,Dribble,No existe,0.0
70219,110,True,"[Decimal('51.2'), Decimal('4.8')]",Alexis Alejandro Sánchez Sánchez,00:02:49.777,8,1,217,3385,From Throw In,"['06aa25be-3df4-481d-bfed-114d35978fa8', 'd1325d86-d063-4890-9399-d6f895d6af9d']",2,49,Barcelona,217,Barcelona,153fa19f-dac9-4bdb-8779-7370fc69b6a5,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Left Wing,Dribble,No existe,0.0
3879774,96,True,"[Decimal('49.3'), Decimal('42.9')]",Gary Alexis Medel Soto,00:01:14.442,4,1,238,16453,Regular Play,['ac5638da-5c12-42ee-b7ee-426672c366cf'],1,14,Inter Milan,238,Inter Milan,deca6b58-bb8a-4934-affd-45427ce07159,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Right Defensive Midfield,Dribble,No existe,0.0
3749079,25,True,"[Decimal('66.2'), Decimal('21.9')]","Gérémi Sorele N""Djitap Fotso",00:00:19.140,2,1,33,40261,From Kick Off,"['e07140a1-88c9-4b61-951e-e270b7f8876d', 'f9beb66a-d583-4525-bb2c-04a07e681baa']",0,19,Chelsea,33,Chelsea,52034da7-6a81-4c5d-b7e2-5d78f422c556,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Right Midfield,Dribble,No existe,0.0
3895095,203,True,"[Decimal('50.3'), Decimal('53.8')]",Victor Okoh Boniface,00:06:39.661,9,1,904,32289,From Goal Kick,['07053e4c-e128-4431-96aa-0681e7f1d3c2'],6,39,Bayer Leverkusen,904,Bayer Leverkusen,3c5d079f-7af2-4cb8-9202-a047b2ba45e1,0,"{'outcome': {'name': 'Complete', 'id': Decimal('8')}}",Center Forward,Dribble,No existe,0.0
3879717,54,True,"[Decimal('101.7'), Decimal('25.2')]",Marcello Trotta,00:00:44.987,3,1,232,6978,From Throw In,['2e7d0475-0767-4ecf-b56f-43d932a1efe8'],0,44,Sassuolo,232,Sassuolo,15122d7d-71b1-4f63-a8d5-3ed4dfb36df8,0,"{'outcome': {'name': 'Incomplete', 'id': Decimal('9')}}",Center Forward,Dribble,No existe,0.0
